emotion,content
1,我的身份证为什么不能在网上买
1,那现在有没有什么好的套餐推荐啊
1,我那天定了火车票退票成功了
1,两个满意评10分1314送的和100M
1,好像还有很多流量
1,我会考取你
1,雨夜的良慢
1,潮州特惠200M
1,流量包送10元话费优惠券
1,好的能谅解
1,钱己收到谢谢
1,嘿嘿媳妇我发工资了
1,呦牛逼呀
1,好的没事啦谢谢
1,天真大笑
1,淑女
1,好去听
1,好的谢谢暂时没有其他事情了
1,我没有什么问题了
1,你觉得我可爱吗
1,诚实
1,那我不恨了
1,我相信你
1,很高兴认识你啊
1,没了谢谢美女
1,有没有漂亮的妹妹啊
1,没啦谢谢你祝你生活愉快
1,两三g最好
1,狠狠爱期待
1,真的吗太好了谢谢你
1,谢谢您的提醒我会找时间充话费的
1,放心本人
1,你打电话来好点吧
1,谢谢啰
1,ok多谢提示
1,木有事
1,男朋友帅不帅自己喜欢就好女朋友漂不漂亮自己爱就行
1,ok
1,亲爱的想你勇
1,谢谢您耐心的解答祝您事事如意
1,好谢谢拜拜
1,我的新股申购中签
1,豪华头等舱
1,甜甜
1,粲然一笑
1,方面积极
1,好咧微笑谢谢你啦
1,谢谢何亮收到了
1,不要失去信心
1,这样就好了
1,在外面都可以
1,把我的积分豁免啊
1,我说的是真的
1,我查的好清楚啦
1,AAAAっA喜欢你A
1,好的我不是你亲爱的但我会回复10给你
1,转换什么在湖南话费便宜
1,好的谢谢如果超过就会扣费对吧
1,谢谢你热情的帮忙
1,謝你幫我跟進一下
1,2250谢谢你
1,高温谢谢
1,收到谢谢410
1,好的谢谢能加你微信吗
1,您好哦
1,面试通过了
1,谢谢宝贝儿
1,我是这个号码在深圳已经用了十多年了所以舍不得
1,谢谢咨询完毕
1,收到信息多谢祝吴生工作顺利双节快乐
1,美女美女我爱你
1,一等奖任务7月11日2359时个人战力排名第一
1,么么哒我想和你交朋友
1,哦知道了谢谢没事了
1,很开心哦打扰你了想问今天的满意评10分活动是不是又开始了呢
1,想买国内的特价机票请推荐
1,平时都可以用的
1,父亲节快乐几时放假几时回家老地方见
1,老婆是我爱你是我结婚求爱女子是我有好人四十万元老公是你会上市
1,经典
1,爱拼加油
1,以后不用回了款项已结清
1,天水市场的东西好
1,我想把流量转赠给朋友
1,晚安
1,没问题啊到时候我们联系就行啦
1,霍校了解到贵校最高分的能否告诉我一下谢谢
1,GXYE你好
1,新春小众购机方案优惠
1,我今天没停机啊还可以打电话的
1,我喜欢机器人
1,投诉问题已解决给我了根网线
1,好的那就帮我换这个套餐吧
1,那就好那没什么事了谢谢
1,啊那算了谢谢你啦
1,我们都是朋友
1,嗯嗯谢谢你啦
1,小和为什么你这么温柔的
1,十分点赞
1,退一奖一
1,承诺使用88元套餐优惠返还
1,一字不差
1,可以升级卡吗
1,赠送15元话费呀
1,成熟
1,嗯哼谢了
1,你好我的
1,搞定跟我说
1,不是骂人呀
1,可以解决
1,我不瞎
1,收到我去银行看看谢谢姐
1,好的那你帮我办理吧
1,敬业
1,满意意评10分
1,除了这个没有其他问题了谢谢您
1,没有了谢谢你们
1,帮我取消我本机的所有自动续费业务谢谢你了
1,你好钱己收到了谢谢
1,哦谢谢了微笑
1,和你聊天我成长了许多啦
1,优惠政策
1,老师你好W
1,我还在妈妈这明天才回嘻嘻明天上午没课中午回学校
1,不谢是我一点心意呲牙呲牙呲牙呲牙
1,好的暂时没问题了
1,好的慢慢来不及不及好好好好的谢谢谢谢
1,有惊喜
1,不能送多点吗哈哈哈
1,我这个号可以办理
1,可以你可以帮我换嘛
1,哦哦哦知道了
1,好的谢谢啦给你10分
1,午安你好
1,续约成功了对吧
1,好既
1,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈爱你
1,哦哦十分感谢希望每天开心OO
1,收费也可以
1,やばかった笑っていただくべき
1,可以就好那我就一直用微笑
1,八十年代了你们人类的哥哥姐姐们爱你
1,嗯可以谢谢
1,加油争取第一
1,行谢谢您了
1,谢了亲给力
1,我想他我爱他
