emotion,text,content
0,俞觉敏,[]
0,准备官宣啊,[]
0,小贾吓坏了,[]
2,这不好看吧,['不好看']
0,明显皇马,[]
0,困了,[]
0,也可以啊！,[]
0,24谁拿的,[]
2,卡…不是口,['卡']
2,看不下去...,['看不下去']
0,老汉低了,[]
0,发一个谢谢,[]
0,惊现大米狗,[]
0,三个V5,[]
0,这个是回忆,[]
0,一年总收益,[]
0,怎么比,[]
0,林永健,[]
0,我是说ol,[]
0,就一个镜头,[]
0,仅次于梅西,[]
0,她妹妹,[]
0,不知道唉,[]
1,我抬抢眼,['抢眼']
0,梅毒？,[]
0,另外2个是啥,[]
0,稳如影帝,[]
0,这什么舞,[]
2,SJL死基佬,['死基佬']
0,我女票,[]
0,吃饺子么？,[]
1,祝幸福),['幸福']
1,喜欢倪妮,['喜欢']
0,这是6楼,[]
0,名记的yy,[]
2,死鸭子嘴硬,['死鸭子嘴硬']
0,滴，五毛卡,[]
1,好厉害的id,['好厉害']
2,一直不瘦,['不瘦']
0,你没戏,[]
0,哪儿,[]
0,猫之恩返,[]
0,我自己做的,[]
0,啊？,[]
0,就是这效果,[]
0,过剧情呗,[]
0,是啊…,[]
0,我差不多246,[]
0,晋江的,[]
0,是伯恩茅斯,[]
0,求地址~~,[]
0,啥竞技,[]
0,俺去也,[]
2,没JJ怎么fuck,['fuck']
0,就是踩单车,[]
0,没有RPG模式,[]
0,你LS,[]
0,你信啊,[]
0,军区总院,[]
0,大吴哥,[]
1,这个最好看,['好看']
0,keyboardworrier,[]
0,6s昨天入的,[]
2,然后被黑了,['被黑']
0,咦,[]
0,打包成功,[]
0,号点不进去,[]
2,丑死你,['丑死你']
2,裤子真随意,['随意']
0,我没去过,[]
1,去大上海,['大上海']
0,不服上酸菜,[]
0,康宁大猩猩,[]
0,10M不是光纤,[]
0,一方通行,[]
0,怀斯,[]
0,是荒岛余生,[]
0,签名好高清,[]
0,后排瓜子,[]
0,全民彩,[]
0,不是啦🙈,[]
0,东北菜,[]
2,只能怪你傻,['怪你傻']
0,你去回忆,[]
0,六杀,[]
0,最高速度时,[]
2,别硬上,['别硬上']
0,戒色,[]
0,那楼没了,[]
0,不贵吧……,[]
1,哈哈哈牛逼,['牛逼']
0,荷兰帮,[]
1,rap满分,['满分']
0,伊布打不了,[]
0,几点开始？,[]
2,和吧主攀亲,['攀亲']
0,3比1了,[]
0,寄生虫恶心,[]
0,在破车踢过,[]
0,一千六左右,[]
0,还有李圣杰,[]
0,你得先净身,[]
0,3场4点球,[]
2,滚粗黄狗,['滚粗']
0,脸方怎么了,[]
0,你说谁带队,[]
2,顾不起劲？,['不起劲']
2,沙雕一群,['沙雕']
0,好像本田,[]
0,同时发一,[]
0,魂还在,[]
0,BB组合,[]
2,小心得病,['得病']
0,刀爆了,[]
0,第三季？,[]
2,你是俄狗,['俄狗']
0,lz金套呢,[]
0,出去打猎了,[]
0,行李架,[]
0,你也85了,[]
0,什么咨询？,[]
1,支持梦剧场,['支持']
0,就会有你,[]
0,孙坚骆宾王,[]
0,结婚都有吧,[]
2,靠…,['靠']
0,已加求优惠,[]
0,地利,[]
0,看屌,[]
0,反正是名人,[]
2,心疼斯痛斯,['心疼']
0,说的是唱,[]
0,晚上回去下,[]
0,信仰粉,[]
0,新姮结衣,[]
0,南庄佬,[]
0,在皇马也是,[]
0,更快点！,[]
0,处男别说话,[]
1,膜拜神回复,['膜拜']
0,章鱼蛋,[]
2,那些都是Sb,['Sb']
1,高清,['高清']
0,我揍不删,[]
0,稳如洛阳铲,[]
0,你看你楼上,[]
2,传球太假了,['太假了']
0,稳如人人车,[]
0,左一内马尔,[]
0,中锋吧,[]
0,天天坐飞机,[]
0,杂交狗呢？,[]
0,14楼,[]
2,鸡巴弘历,['鸡巴']
0,你奶在哪,[]
1,健在,['健在']
0,已经6个了,[]
0,海鲜？,[]
0,国家要求,[]
0,公婆骑摩的,[]
0,根本听不到,[]
0,就等你,[]
0,不小了。。,[]
0,反正我看过,[]
0,500w都没人要,[]
0,不敢作死,[]
0,半支黑人队,[]
0,下个月退役,[]
0,刮刮乐代表,[]
0,也算。,[]
0,在下马岱,[]
0,纯正红魔迷,[]
0,s16是谁,[]
0,他说维拉,[]
0,外贸是谁,[]
0,去b队,[]
0,在犀浦,[]
0,7港版32G4800,[]
0,强行归我,[]
2,外挂毁了,['毁了']
0,XJBT模式开启,[]
0,建水臭豆腐,[]
0,暂时没出现,[]
0,三加十,[]
0,纯个人猜测,[]
0,封了。,[]
0,.@公安,[]
0,何必认真,[]
0,22岁时,[]
0,粉红色乳头,[]
2,污！,['污']
2,瘫痪的老哥,['瘫痪']
1,因为说得对,['说得对']
0,不是湖南,[]
0,大锤？,[]
0,有依据吗？,[]
0,深圳谁？,[]
0,再比交通？,[]
0,jj断了,[]
2,其实老了,['老了']
2,中二。。。,['中二']
0,那就摸摸,[]
0,啥，没明白,[]
2,@楼主总是绿,['总是绿']
0,灯草大师,[]
0,呵呵，两万,[]
0,小浪,[]
0,听说2万出头,[]
2,怕越等越贵,"['怕', '贵']"
0,天皇吧,[]
0,去哪？,[]
0,白满,[]
0,10年在这里,[]
0,下巴长不长,[]
0,天弘基金,[]
0,不要儿梦萨,[]
2,你个傻叼,['傻叼']
0,你要看清啥,[]
0,马桶南,[]
2,这酒店真坑,['真坑']
2,表妹真可恶,['可恶']
0,我是诺粉,[]
0,进化,[]
0,我没有看过,[]
0,常熟,[]
1,好老板,['好老板']
0,里奥！,[]
0,丁春秋,[]
0,快说快说,[]
0,妖怪。,[]
0,辽师的？,[]
0,就一个秀智,[]
0,本轮15轮啊,[]
0,西南政法,[]
1,盯裆猫233,['233']
0,埃博拉,[]
0,护驾！,[]
0,关注了,[]
0,樱木花道,[]
0,红魔精神！,[]
0,听都没听过,[]
0,才零下9度,[]
0,专业抱大腿,[]
0,号码已记下,[]
0,你也是猜,[]
0,我也经常发,[]
0,lz太监,[]
0,楼下说你,[]
0,毫无…,[]
0,我抬应该6.4,[]
0,这就是黑了,[]
0,吊...,[]
0,好我去看看,[]
0,新疆赢了没,[]
0,0也是6,[]
0,十三妹啊,[]
0,小舞,[]
2,猥琐大叔,['猥琐']
0,30了吧,[]
0,5-9号免费,[]
0,信江河,[]
0,格子吗,[]
0,要修车吗？,[]
0,一冠一红！,[]
0,周迅版大爱,[]
0,翔哥好,[]
0,看看本田CR-V,[]
0,五月天？,[]
2,煞笔楼主呢,['煞笔']
0,试试吧,[]
0,2000不能再多,[]
0,挂了？？,[]
0,三月泡,[]
0,卡希尔特里,[]
0,那我睡了,[]
1,冬妹子好~~,['好']
0,9号是谁,[]
0,快整理下,[]
0,拉莫斯笑尿,[]
0,Li是谁,[]
0,人均是娜娜,[]
1,天使佩雷拉,['天使']
0,这只是鹿吧,[]
0,丑逼,[]
0,咸鱼翻身,[]
0,鲁迅先生,[]
0,不如科斯塔,[]
0,还没有出土,[]
0,宜兴老乡,[]
0,标准八块,[]
0,点球踢飞,[]
