emotion,text,content
0,#（你懂的）,[]
0,'坐等,[]
0,(⊙o⊙)啥？,[]
2,"+1,真差",['真差']
1,+1BGM超赞,['超赞']
0,+1入了个qc20,[]
0,+1男人手,[]
2,+1给咱丢人,['丢人']
1,+1说的好,['好']
0,+1还有船,[]
0,+1颜射,[]
0,+2接班人吗,[]
0,+手机号码,[]
0,",@后入之王",[]
0,--是很少见,[]
0,-挨着割？,[]
1,-服！,['服']
0,....这..,[]
1,...你赢了,['赢了']
0,...酒吧？,[]
0,.@富江,[]
0,.天天水。,[]
0,01才初二？,[]
0,03无疑,[]
0,04年13级？,[]
0,0506的,[]
0,06塞黑表示,[]
2,06年可惜了,['可惜']
0,06年吧,[]
0,0708欧文主场,[]
0,0809那年没上,[]
2,08年可惜,['可惜']
0,09不是冠军,[]
0,09年曼联,[]
0,0十七分钟3,[]
0,0好了,[]
0,0度还好吧,[]
1,0我也喜欢,['喜欢']
0,0我没车,[]
2,0搞死！,['搞死']
0,0最多了,[]
0,0比0扳平,[]
2,0滚粗,['滚粗']
0,1.53咋理解,[]
0,1.5㎝？,[]
0,1.5线,[]
0,1.7亿。有钱,[]
0,1.82时代,[]
0,1.天使,[]
0,1000刀,[]
0,100w巴萨球迷,[]
0,100位,[]
1,100分牛逼,['牛逼']
0,103g?,[]
0,10个够吗？,[]
0,10个滑稽币,[]
0,10以后,[]
0,10块钱5G,[]
0,10天了,[]
0,10年在这里,[]
0,10是主角啊,[]
0,10月17日22,[]
0,10欧冠决赛,[]
1,10，满分,['满分']
2,11.6太小了,['太小了']
0,11111111上车,[]
0,115还能用？,[]
0,117路过,[]
0,11分。,[]
0,11号21号,[]
0,11号夏普,[]
0,11年高三,[]
2,11级白混了,['白混']
0,12.5米的管子,[]
0,120w卧底才对,[]
2,12fansclub也贵,['贵']
0,12个,[]
0,12和14？,[]
0,12是888,[]
0,13.里贝里,[]
0,13133011分,[]
0,13万字,[]
0,13届,[]
0,13岁,[]
